Date,Price,Type,Index
2024-08-22 04:00:00,2471.1001,Swing Low,3
2024-09-03 04:00:00,2476.3,Swing Low,10
2024-09-18 04:00:00,2549.2,Swing Low,21
2024-09-30 04:00:00,2623.2,Swing Low,29
2024-10-10 04:00:00,2602.5,Swing Low,37
2024-11-14 05:00:00,2554.2,Swing Low,62
2024-11-25 05:00:00,2616.8,Swing Low,69
2024-12-06 05:00:00,2617.5,Swing Low,77
2024-12-19 05:00:00,2582.1001,Swing Low,86
2024-12-30 05:00:00,2597.0,Swing Low,92
2025-01-27 05:00:00,2737.5,Swing Low,110
2025-02-28 05:00:00,2834.1001,Swing Low,133
2025-03-10 04:00:00,2880.2,Swing Low,139
2025-03-21 04:00:00,3000.8999,Swing Low,148
2025-04-07 04:00:00,2949.7,Swing Low,159
2025-04-23 04:00:00,3256.2,Swing Low,170
2025-05-01 04:00:00,3198.6001,Swing Low,176
2025-05-15 04:00:00,3125.0,Swing Low,186
2025-05-29 04:00:00,3242.3999,Swing Low,195
2025-06-09 04:00:00,3290.0,Swing Low,202
2025-06-27 04:00:00,3253.8,Swing Low,215
2025-07-09 04:00:00,3282.0,Swing Low,223
2025-07-17 04:00:00,3313.8,Swing Low,229
2025-07-30 04:00:00,3263.8999,Swing Low,238
